"Package","Version","LibPath","Depends","Imports","LinkingTo","Remotes","GithubRepo","GithubUsername","GithubRef","GithubSHA1","GithubSubFolder","Repository","GitSubFolder"
"bslib","0.5.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","base64enc, cachem, grDevices, htmltools (>= 0.5.4), jquerylib        (>= 0.1.3), jsonlite, memoise (>= 2.0.1), mime, rlang, sass (>=        0.4.0)","","",NA,NA,NA,NA,NA,"CRAN",NA
"cachem","1.0.8","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","rlang, fastmap (>= 1.1.1)","","",NA,NA,NA,NA,NA,"CRAN",NA
"callr","3.7.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","processx (>= 3.6.1), R6, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"car","3.1-2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg, grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme, scales","","",NA,NA,NA,NA,NA,"CRAN",NA
"carData","3.0-5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"checkmate","2.3.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","backports (>= 1.1.0), utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"chron","2.3-61","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","graphics, stats","","",NA,NA,NA,NA,NA,"RSPM",NA
"CircStats","0.2-6","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","MASS, boot","","","",NA,NA,NA,NA,NA,"RSPM",NA
"classInt","0.4-10","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","grDevices, stats, graphics, e1071, class, KernSmooth","","",NA,NA,NA,NA,NA,"CRAN",NA
"cli","3.6.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"clipr","0.8.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"coda","0.19-4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","lattice","","",NA,NA,NA,NA,NA,"CRAN",NA
"colorspace","2.1-0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","methods","graphics, grDevices, stats","","",NA,NA,NA,NA,NA,"CRAN",NA
"commonmark","1.9.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"corrplot","0.92","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"covr","3.6.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=        1.0.2), yaml","","",NA,NA,NA,NA,NA,"CRAN",NA
"cowplot","1.1.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang, scales","","",NA,NA,NA,NA,NA,"CRAN",NA
"cpp11","0.4.7","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"cppRouting","3.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","Rcpp (>= 1.0.7), RcppParallel, RcppProgress, data.table","","",NA,NA,NA,NA,NA,"RSPM",NA
"crayon","1.5.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","grDevices, methods, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"credentials","2.0.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass","","",NA,NA,NA,NA,NA,"CRAN",NA
"crosstalk","1.2.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","htmltools (>= 0.3.6), jsonlite, lazyeval, R6","","",NA,NA,NA,NA,NA,"CRAN",NA
"curl","5.2.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"data.table","1.14.8","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","methods","","",NA,NA,NA,NA,NA,"CRAN",NA
"DBI","1.1.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","methods","","","",NA,NA,NA,NA,NA,"CRAN",NA
"deldir","1.0-9","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","graphics, grDevices","","",NA,NA,NA,NA,NA,"CRAN",NA
"DEoptim","2.2-8","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","parallel","methods","","",NA,NA,NA,NA,NA,"CRAN",NA
"DEoptimR","1.1-3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","stats","","",NA,NA,NA,NA,NA,"CRAN",NA
"Deriv","4.1.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","methods","","",NA,NA,NA,NA,NA,"CRAN",NA
"desc","1.4.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","cli, R6, rprojroot, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"details","0.3.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","clipr, desc, grid, httr, htmltools, knitr, magrittr, png, stats, utils, withr, xml2","","",NA,NA,NA,NA,NA,"CRAN",NA
"devtools","2.4.5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=        1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=        0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=        1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=        2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=        2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5), tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)","","",NA,NA,NA,NA,NA,"CRAN",NA
"DiagrammeR","1.0.10","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","dplyr (>= 1.0.7), downloader (>= 0.4), glue (>= 1.5.0), htmltools (>= 0.5.2), htmlwidgets (>= 1.5), igraph (>= 1.2.11), magrittr (>= 1.5), purrr (>= 0.3.4), RColorBrewer (>= 1.1-2), readr (>= 2.1.1), rlang (>= 0.4), rstudioapi (>= 0.7), scales        (>= 1.1), stringr (>= 1.4), tibble (>= 3.1), tidyr (>= 1.1), viridis (>= 0.6.2), visNetwork (>= 2.1.0)","","",NA,NA,NA,NA,NA,"CRAN",NA
"dichromat","2.0-0.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","stats","","","",NA,NA,NA,NA,NA,"RSPM",NA
"diffobj","0.3.5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","crayon (>= 1.3.2), tools, methods, utils, stats","","",NA,NA,NA,NA,NA,"CRAN",NA
"digest","0.6.34","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"disk.frame","0.8.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","dplyr (>= 1.1.0)","Rcpp (>= 0.12.13), glue (>= 1.3.1), future.apply (>= 1.3.0), fs (>= 1.3.1), jsonlite (>= 1.6), pryr (>= 0.1.4), stringr (>=        1.4.0), fst (>= 0.8.0), future (>= 1.14.0), data.table (>=        1.12.2), crayon (>= 1.3.4), bigreadr (>= 0.2.0), bit64, benchmarkme, purrr (>= 0.3.2), globals, rlang, arrow","","",NA,NA,NA,NA,NA,"CRAN",NA
"dismo","1.3-14","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","raster (>= 3.5-21), sp (>= 1.4-5)","Rcpp, methods, terra (>= 1.5-34)","","",NA,NA,NA,NA,NA,"CRAN",NA
"doBy","4.6.22","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","methods","boot, broom, cowplot, Deriv, dplyr, ggplot2, MASS, Matrix, modelr, microbenchmark, rlang, tibble, tidyr","","",NA,NA,NA,NA,NA,"CRAN",NA
"doParallel","1.0.17","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","foreach (>= 1.2.0), iterators (>= 1.0.0), parallel, utils","","","",NA,NA,NA,NA,NA,"CRAN",NA
"downlit","0.4.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","brio, desc, digest, evaluate, fansi, memoise, rlang, vctrs, withr, yaml","","",NA,NA,NA,NA,NA,"CRAN",NA
"downloader","0.4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","utils, digest","","",NA,NA,NA,NA,NA,"RSPM",NA
"dplyr","1.1.4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","cli (>= 3.4.0), generics, glue (>= 1.3.2), lifecycle (>=        1.0.3), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6, rlang (>= 1.1.0), tibble (>= 3.2.0), tidyselect (>= 1.2.0), utils, vctrs (>= 0.6.4)","","",NA,NA,NA,NA,NA,"CRAN",NA
"dqrng","0.3.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","Rcpp (>= 0.12.16)","","",NA,NA,NA,NA,NA,"CRAN",NA
"dtt","0.1-2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"RSPM",NA
"e1071","1.7-13","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","graphics, grDevices, class, stats, methods, utils, proxy","","",NA,NA,NA,NA,NA,"CRAN",NA
"earth","5.3.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","Formula (>= 1.2-3), plotmo (>= 3.6.0), TeachingDemos (>= 2.10)","","","",NA,NA,NA,NA,NA,"CRAN",NA
"effsize","0.8.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"RSPM",NA
"ellipsis","0.3.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","rlang (>= 0.3.0)","","",NA,NA,NA,NA,NA,"CRAN",NA
"EnvStats","2.8.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","MASS, ggplot2, nortest","","",NA,NA,NA,NA,NA,"CRAN",NA
"evaluate","0.23","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","methods","","",NA,NA,NA,NA,NA,"CRAN",NA
"exactextractr","0.10.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","Rcpp (>= 0.12.12), methods, raster, sf (>= 0.9.0)","","",NA,NA,NA,NA,NA,"RSPM",NA
"fansi","1.0.5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","grDevices, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"farver","2.1.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"fastdigest","0.6-3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"fastDummies","1.7.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","data.table, tibble, stringr","","",NA,NA,NA,NA,NA,"CRAN",NA
"fasterize","1.0.5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","Rcpp, raster (>= 2.8-3), wk","","",NA,NA,NA,NA,NA,"CRAN",NA
"fastGHQuad","1.0.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","Rcpp (>= 0.11.0)","","","",NA,NA,NA,NA,NA,"RSPM",NA
"fastmap","1.1.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"fastmatch","1.1-4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"RSPM",NA
"ff","4.0.9","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","bit (>= 4.0.0), utils","","","",NA,NA,NA,NA,NA,"CRAN",NA
"filelock","1.0.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"fontawesome","0.5.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)","","",NA,NA,NA,NA,NA,"CRAN",NA
"forcats","1.0.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0), tibble","","",NA,NA,NA,NA,NA,"CRAN",NA
"foreach","1.5.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","codetools, utils, iterators","","",NA,NA,NA,NA,NA,"CRAN",NA
"Formula","1.2-5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","stats","","","",NA,NA,NA,NA,NA,"RSPM",NA
"fpCompare","0.2.4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","","","",NA,NA,NA,NA,NA,"CRAN",NA
"fs","1.6.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","methods","","",NA,NA,NA,NA,NA,"CRAN",NA
"fst","0.9.8","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","fstcore, Rcpp","","",NA,NA,NA,NA,NA,"CRAN",NA
"fstcore","0.9.14","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","Rcpp","","",NA,NA,NA,NA,NA,"CRAN",NA
"furrr","0.3.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","future (>= 1.25.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4), rlang (>= 1.0.2), vctrs (>= 0.4.1)","","",NA,NA,NA,NA,NA,"CRAN",NA
"future","1.33.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel, parallelly (>= 1.34.0), utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"future.apply","1.11.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"future.callr","0.8.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","future (>= 1.33.0)","callr (>= 2.0.3)","","",NA,NA,NA,NA,NA,"RSPM",NA
"gargle","1.5.2","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=        1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=        1.1.0), stats, utils, withr","","",NA,NA,NA,NA,NA,"CRAN",NA
"gbm","2.1.8.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","lattice, parallel, survival","","",NA,NA,NA,NA,NA,"CRAN",NA
"gdalUtilities","1.2.5","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","sf (>= 1.0-11)","","",NA,NA,NA,NA,NA,"CRAN",NA
"generics","0.1.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","methods","","",NA,NA,NA,NA,NA,"CRAN",NA
"geojsonsf","2.0.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","Rcpp","","",NA,NA,NA,NA,NA,"RSPM",NA
"geometries","0.2.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","Rcpp (>= 1.0.10)","","",NA,NA,NA,NA,NA,"CRAN",NA
"gert","2.0.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","askpass, credentials (>= 1.2.1), openssl (>= 2.0.3), rstudioapi (>= 0.11), sys, zip (>= 2.1.0)","","",NA,NA,NA,NA,NA,"CRAN",NA
"ggforce","0.4.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","ggplot2 (>= 3.3.6)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5), gtable, rlang, polyclip, stats, grDevices, tidyselect, withr, utils, lifecycle, cli, vctrs, systemfonts","","",NA,NA,NA,NA,NA,"CRAN",NA
"ggfun","0.1.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","cli, ggplot2, grid, rlang, utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"ggimage","0.3.3","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","ggplot2","ggfun, ggplotify, grid, jsonlite, magick, methods, scales, tibble, tools, utils, withr","","",NA,NA,NA,NA,NA,"RSPM",NA
"ggplot2","3.4.4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband, lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=        1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)","","",NA,NA,NA,NA,NA,"CRAN",NA
"ggplotify","0.1.1","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","ggplot2, graphics, grDevices, grid, gridGraphics, yulab.utils","","",NA,NA,NA,NA,NA,"CRAN",NA
"ggpubr","0.6.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=        1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif, scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=        0.7.2), tibble, magrittr","","",NA,NA,NA,NA,NA,"CRAN",NA
"ggrepel","0.9.4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=        2.5.0)","","",NA,NA,NA,NA,NA,"CRAN",NA
"ggsci","3.0.0","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","ggplot2 (>= 2.0.0), grDevices, scales","","",NA,NA,NA,NA,NA,"CRAN",NA
"ggsignif","0.6.4","C:/Users/emcintir/AppData/Local/Temp/RtmpaaIwDT/Require/tmpdir324859d83fd","","ggplot2 (>= 3.3.5)","","",NA,NA,NA,NA,NA,"CRAN",NA
